symbol,name,currency,summary,category_group,category,family,exchange
0PMB.BE,DPAM INV.B EQ.EUROLAND BC,EUR,"DPAM INV.B EQ.EUROLAND BC is a sub-fund of DPAM INVEST B, focusing on equities in the Eurozone, aiming to provide long-term capital growth by investing in companies located in the Eurozone. The fund is managed by Degroof Petercam Asset Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Developed Markets,,BER
0PMB.DU,DPAM INV.B EQ.EUROLAND BC,EUR,"DPAM INV.B EQ.EUROLAND BC is a sub-fund of DPAM INVEST B, focusing on equities in the Eurozone, aiming to provide long-term capital growth by investing in companies located in the Eurozone. The fund is managed by Degroof Petercam Asset Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Developed Markets,,DUS
0PMB.MU,DPAM INV.B EQ.EUROLAND BC,EUR,"DPAM INV.B EQ.EUROLAND BC is a sub-fund of DPAM INVEST B, focusing on equities in the Eurozone, aiming to provide long-term capital growth by investing in companies located in the Eurozone. The fund is managed by Degroof Petercam Asset Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Developed Markets,,MUN
0R4A.BE,ROBO GL.ROB.+AUTM.IDX ETF,EUR,"ROBO GL.ROB.+AUTM.IDX ETF is an exchange-traded fund (ETF) that tracks the performance of the ROBO Global Robotics and Automation Index, providing exposure to companies involved in robotics and automation. The fund invests in a diversified portfolio of companies from around the world that are focused on the development and use of robotics and automation technologies. ROBO Global is the index provider.",Industrials,Large Cap,Robo Global,BER
0R4E.BE,E.T.C.T.-HULL TACT.US ETF,EUR,"E.T.C.T.-HULL TACT.US ETF is an exchange-traded fund (ETF) that employs a tactical strategy focused on U.S. equities, utilizing the Hull Moving Average as a key technical indicator. The fund seeks to generate returns by dynamically adjusting its exposure to different sectors or market segments based on the signals from the Hull Moving Average. Exchange Traded Concepts Trust serves as the issuer of the ETF.",,Large Cap,Exchange Traded Concepts,BER
0R4F.BE,ETCT-INN.SHS NEXTGEN ETF,EUR,ETCT-INN.SHS NEXTGEN ETF is an exchange-traded fund (ETF) that focuses on investing in innovative companies that are shaping the next generation of technology and industry. The fund seeks to provide long-term capital appreciation by investing in a diversified portfolio of companies that are involved in disruptive technologies and emerging trends. Exchange Traded Concepts Trust serves as the issuer of the ETF.,,Large Cap,Exchange Traded Concepts,BER
0U2B.BE,GLB.X FD.-NASD.100C.C.GR.,EUR,"GLB.X FD.-NASD.100C.C.GR. is an exchange-traded fund (ETF) managed by Global X Funds, which tracks the Cboe Nasdaq 100 Covered Call Growth Index. The fund combines exposure to the Nasdaq-100 Index with a covered call strategy, seeking to generate income while also participating in the potential growth of the underlying index. Global X Management Company LLC is based in New York.",Information Technology,Large Cap,Global X Funds,BER
0V10.BE,VANG.ENERGY INDEX ETF,EUR,"VANG.ENERGY INDEX ETF is an exchange-traded fund (ETF) that tracks the performance of the MSCI US Investable Market Energy 25/50 Index, providing exposure to U.S. companies in the energy sector. The fund invests in a diversified portfolio of companies involved in the exploration, production, and distribution of oil, gas, and other energy resources. Vanguard is the investment manager.",Energy,Large Cap,Vanguard Asset Management,BER
0V12.BE,VANG.EUROP.STOCK IDX ETF,EUR,"VANG.EUROP.STOCK IDX ETF is an exchange-traded fund (ETF) that tracks the performance of the FTSE Developed Europe All Cap Index, providing exposure to a broad range of European equities. The fund invests in",,Developed Markets,Vanguard Asset Management,BER
0V13.BE,VANG.LO.-T.BD IDX ETF,EUR,,,,,BER
0V14.BE,VANGUARD CON.DISC.IDX ETF,EUR,,,,,BER
0V15.BE,VANGUARD FINANC.IDX ETF,EUR,,Financials,,Vanguard Asset Management,BER
0V16.BE,VANGUARD INF.TECH.IDX ETF,EUR,,Information Technology,,Vanguard Asset Management,BER
0V17.BE,VANGUARD HEALTH C.IDX ETF,EUR,The VANGUARD HEALTH C.IDX ETF is an exchange-traded fund that seeks to track the performance of a specific health care sector index. It provides investors with exposure to a diversified portfolio of companies within the health care industry. The fund is managed by Vanguard and is domiciled in Belgium.,Health Care,,Vanguard Asset Management,BER
0V18.BE,VANG.PACIFIC ST.IDX ETF,EUR,The VANG.PACIFIC ST.IDX ETF is an exchange-traded fund designed to track the investment results of an index composed of Pacific-region stocks. It offers investors exposure to a broad range of companies in developed Pacific markets. The fund is managed by Vanguard and is domiciled in Belgium.,,,Vanguard Asset Management,BER
0V19.BE,VANGUARD INDUSTR.IDX ETF,EUR,"The VANGUARD INDUSTR.IDX ETF is an exchange-traded fund that aims to replicate the performance of an index representing the industrial sector. It provides investors with access to a diversified portfolio of companies involved in manufacturing, construction, and related industries. The fund is managed by Vanguard and is domiciled in Belgium.",Industrials,,Vanguard Asset Management,BER
0V1A.BE,VANGUARD EXT.D.TR.IDX ETF,EUR,The VANGUARD EXT.D.TR.IDX ETF is an exchange-traded fund that seeks to track the investment results of an index composed of dividend-paying stocks. It allows investors to gain exposure to a diversified portfolio of companies that distribute a portion of their earnings to shareholders. The fund is managed by Vanguard and is domiciled in Belgium.,,,Vanguard Asset Management,BER
0V1F.BE,VANG.S+P500 VAL.IDX ETF,EUR,"The VANG.S+P500 VAL.IDX ETF is an exchange-traded fund that tracks the performance of the S&P 500 Value Index. It provides exposure to stocks within the S&P 500 that exhibit value characteristics based on factors such as book value to price ratio, earnings to price ratio, and sales to price ratio. The fund is managed by Vanguard and is domiciled in Belgium.",,Value,Vanguard Asset Management,BER
0V1H.BE,VANGUARD EXT.MKT IDX ETFS,EUR,"The VANGUARD EXT.MKT IDX ETFS is an exchange-traded fund that aims to track the performance of an index representing the broad U.S. equity market, excluding the S&P 500. It offers investors exposure to a wide range of small and mid-capitalization companies. The fund is managed by Vanguard and is domiciled in Belgium.",,,Vanguard Asset Management,BER
0V1I.BE,VANG.TO.BD MA.IDX ETF,EUR,"The VANG.TO.BD MA.IDX ETF is an exchange-traded fund that seeks to track the performance of a broad, market-weighted bond index with a focus on total bond market. It provides investors with exposure to a diversified portfolio of investment-grade bonds. The fund is managed by Vanguard and is domiciled in Belgium.",Fixed Income,Investment Grade Bonds,Vanguard Asset Management,BER
0V1K.BE,VANGUARD DEV.MKTS IDX ETF,EUR,"The VANGUARD DEV.MKTS IDX ETF is an exchange-traded fund that aims to track the performance of an index representing the developed markets, excluding the United States. It offers investors exposure to a broad range of companies in developed countries outside of the U.S. The fund is managed by Vanguard and is domiciled in Belgium.",,Developed Markets,Vanguard Asset Management,BER
0V1L.BE,VANG.INTERM.-T.BD IDX ETF,EUR,The VANG.INTERM.-T.BD IDX ETF is an exchange-traded fund designed to track the performance of an index composed of intermediate-term bonds. It allows investors to gain exposure to a diversified portfolio of investment-grade bonds with maturities between a specific range. The fund is managed by Vanguard and is domiciled in Belgium.,Fixed Income,Investment Grade Bonds,Vanguard Asset Management,BER
0V1M.BE,VANG.SHORT-T.BD IDX ETF,EUR,The VANG.SHORT-T.BD IDX ETF is an exchange-traded fund that seeks to track the performance of an index composed of short-term bonds. It provides investors with exposure to a diversified portfolio of investment-grade bonds with relatively short maturities. The fund is managed by Vanguard and is domiciled in Belgium.,Fixed Income,Investment Grade Bonds,Vanguard Asset Management,BER
0V1N.BE,VANGUARD T.WLD ST.IDX ETF,EUR,"The VANGUARD T.WLD ST.IDX ETF is an exchange-traded fund that aims to track the performance of a broad, market-weighted index representing global equities. It offers investors exposure to a diversified portfolio of companies across both developed and emerging markets worldwide. The fund is managed by Vanguard and is domiciled in Belgium.",,,Vanguard Asset Management,BER
0V1Q.BE,VANGUARD MEGA C.V.IDX ETF,EUR,The VANGUARD MEGA C.V.IDX ETF is an exchange-traded fund that seeks to track the performance of a mega-cap value index. It offers investors exposure to the largest companies in the market that exhibit value characteristics. The fund is managed by Vanguard and is domiciled in Belgium.,,Value,Vanguard Asset Management,BER
0V1R.BE,VANGUARD MEGA C.G.IDX ETF,EUR,The VANGUARD MEGA C.G.IDX ETF is an exchange-traded fund that aims to track the performance of a mega-cap growth index. It provides investors with exposure to the largest companies in the market that exhibit growth characteristics. The fund is managed by Vanguard and is domiciled in Belgium.,,Growth,Vanguard Asset Management,BER
0V1S.BE,VANGUARD CON.ST.IDX ETF,EUR,The VANGUARD CON.ST.IDX ETF is an exchange-traded fund designed to track the performance of an index representing consumer staples companies. It offers investors exposure to a diversified portfolio of businesses that produce essential goods and services. The fund is managed by Vanguard and is domiciled in Belgium.,Consumer Staples,,Vanguard Asset Management,BER
0V1T.BE,VANGUARD SM.CAP IDX ETF,EUR,The VANGUARD SM.CAP IDX ETF is an exchange-traded fund that seeks to track the performance of an index representing small-capitalization companies. It provides investors with exposure to a diversified portfolio of smaller publicly traded businesses. The fund is managed by Vanguard and is domiciled in Belgium.,,Small Cap,Vanguard Asset Management,BER
0V1U.BE,VANGUARD SM.C.GR.IDX ETF,EUR,The VANGUARD SM.C.GR.IDX ETF is an exchange-traded fund that aims to track the performance of a small-cap growth index. It offers investors exposure to small-capitalization companies that exhibit growth characteristics. The fund is managed by Vanguard and is domiciled in Belgium.,,Small Cap,Vanguard Asset Management,BER
0V1W.BE,VANGUARD MI.-C.GR.IDX ETF,EUR,The VANGUARD MI.-C.GR.IDX ETF is an exchange-traded fund that seeks to track the performance of a mid-cap growth index. It offers investors exposure to mid-capitalization companies that exhibit growth characteristics. The fund is managed by Vanguard and is domiciled in Belgium.,,Mid Cap,Vanguard Asset Management,BER
0V1X.BE,VANGUARD COMMUN.SERV.ETF,EUR,"The VANGUARD COMMUN.SERV.ETF is an exchange-traded fund that invests in stocks of companies in the communication services sector. This sector includes companies providing telecommunication services, media, and entertainment. The fund is managed by Vanguard and aims to track the performance of a benchmark index of communication services stocks.",Communication Services,,Vanguard Asset Management,BER
100GBA-GBP.SW,UBSETF FTSE 100 GBP DIS,GBP,"The UBSETF FTSE 100 GBP DIS is an exchange-traded fund that tracks the performance of the FTSE 100 index, denominated in GBP and distributing dividends. It offers investors exposure to the largest 100 companies listed on the London Stock Exchange. The fund is managed by UBS and is domiciled in Switzerland.",,Large Cap,UBS Asset Management,EBS
102960.KS,Kodex Shipbuilding,KRW,Kodex Shipbuilding is an exchange-traded fund (ETF) listed on the Korea Exchange. It invests in companies involved in the shipbuilding industry. The fund aims to provide investors with exposure to the performance of the Korean shipbuilding sector.,Industrials,,,KSC
104530.KS,KOSEF High Dividend,KRW,KOSEF High Dividend is an exchange-traded fund (ETF) listed on the Korea Exchange. It invests in companies that pay high dividends. The fund aims to provide investors with a portfolio of dividend-paying stocks listed on the Korean stock market.,Financials,,,KSC
105190.KS,KIMC KINDEX200 Securities Exchange Traded Investment Trust,KRW,"KIMC KINDEX200 Securities Exchange Traded Investment Trust is an exchange-traded fund (ETF) listed on the Korea Exchange that tracks the KOSPI 200 index. It invests in a portfolio of stocks that mirrors the composition of the KOSPI 200 index, providing broad exposure to the Korean stock market. The ETF is managed by Korea Investment Management Company (KIMC).",,Large Cap,,KSC
105780.KS,KB KBSTAR Top5 Group Securities ETF Investment Fund - Equity,KRW,KB KBSTAR Top5 Group Securities ETF Investment Fund - Equity is an exchange-traded fund (ETF) listed on the Korea Exchange. It invests in the top 5 group securities in the Korean stock market. The fund is managed by KB Asset Management and provides investors with exposure to leading Korean conglomerates.,,,,KSC
108450.KS,KINDEX Samsung Group SW ETF,KRW,"KINDEX Samsung Group SW ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in companies affiliated with the Samsung Group. The fund provides investors with exposure to the performance of Samsung-related stocks listed on the Korean stock market. It is managed by Korea Investment Management Co., Ltd.",Information Technology,,,KSC
108590.KS,Yurie Trex200 ETF,KRW,"Yurie Trex200 ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that tracks the KOSPI 200 index. It invests in a portfolio of stocks that mirrors the composition of the KOSPI 200 index, providing broad exposure to the Korean stock market. The ETF is managed by Yurie Asset Management.",,Large Cap,,KSC
10A3.BE,AIS-AM.MSCI IND.DLC,EUR,AIS-AM.MSCI IND.DLC is an exchange-traded fund (ETF) that tracks the MSCI India Daily Leverage Capped Index. It aims to provide leveraged exposure to the Indian stock market. The fund is domiciled in Belgium.,,,Amundi Asset Management,BER
10A4.BE,AIS-AM.MSCI NDQ100 DLC,EUR,AIS-AM.MSCI NDQ100 DLC is an exchange-traded fund (ETF) that tracks the MSCI Nasdaq 100 Daily Leverage Capped Index. It aims to provide leveraged exposure to the Nasdaq 100 index. The fund is domiciled in Belgium.,,,Amundi Asset Management,BER
10A5.MU,Amundi Funds - Emerging Europe and Mediterranean Equity,EUR,"Amundi Funds - Emerging Europe and Mediterranean Equity is a sub-fund of Amundi Funds, an investment company based in Luxembourg. It aims to achieve long-term capital appreciation by investing primarily in equities of companies that are located in, or do a substantial portion of their business in, emerging European and Mediterranean countries. The fund is managed by Amundi Asset Management.",,Emerging Markets,Amundi Asset Management,MUN
10A6.BE,AMF-EM.E.M.EQ. A UNH.EOA,EUR,AMF-EM.E.M.EQ. A UNH.EOA is a sub-fund of Amundi Funds focusing on emerging market equities. It aims to achieve long-term capital appreciation by investing in companies located in or doing business in emerging markets. The fund is managed by Amundi Asset Management and is domiciled in Luxembourg.,,Emerging Markets,Amundi Asset Management,BER
10A6.MU,AMF-EM.E.M.EQ. A UNH.EOA,EUR,AMF-EM.E.M.EQ. A UNH.EOA is a sub-fund of Amundi Funds focusing on emerging market equities. It aims to achieve long-term capital appreciation by investing in companies located in or doing business in emerging markets. The fund is managed by Amundi Asset Management and is domiciled in Luxembourg.,,Emerging Markets,Amundi Asset Management,MUN
10A9.BE,AM.MSCI EMU ESG L.S.ETFEO,EUR,"AM.MSCI EMU ESG L.S.ETFEO is an exchange-traded fund (ETF) that tracks the MSCI EMU ESG Leaders Select Index. It focuses on companies in the Eurozone with high environmental, social, and governance (ESG) ratings while employing a low carbon strategy. The fund is domiciled in Belgium.",,,Amundi Asset Management,BER
10AA.DU,AM.FDS-AF EUR.EQ. AEOC,EUR,AM.FDS-AF EUR.EQ. AEOC is a sub-fund of Amundi Funds that invests in European equities. It aims to achieve long-term capital appreciation by investing in companies located in or doing business in Europe. The fund is managed by Amundi Asset Management and is domiciled in Luxembourg.,,Developed Markets,Amundi Asset Management,DUS
10AC.HM,AF-AM.FU.EQUITY ME. ADLC,EUR,AF-AM.FU.EQUITY ME. ADLC is a fund focusing on equity investments in the Middle East. The fund aims to achieve long-term capital appreciation by investing in companies located in or doing business in the Middle East. It is managed by Amundi Asset Management.,,,Amundi Asset Management,HAM
10AD.BE,F.EAGLE AMUNDI INTER.AHEO,EUR,"F.EAGLE AMUNDI INTER.AHEO is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation by investing in a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,BER
10AD.DU,F.EAGLE AMUNDI INTER.AHEO,EUR,"F.EAGLE AMUNDI INTER.AHEO is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation by investing in a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,DUS
10AD.MU,F.EAGLE AMUNDI INTER.AHEO,EUR,"F.EAGLE AMUNDI INTER.AHEO is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation by investing in a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,MUN
10AF.BE,AIS-A.IN.MSCI E.M.UCETFDR,EUR,AIS-A.IN.MSCI E.M.UCETFDR is an exchange-traded fund (ETF) tracking the MSCI Emerging Markets Index. It provides investors with exposure to a broad range of companies in emerging market countries. The fund is domiciled in Belgium.,,Emerging Markets,Amundi Asset Management,BER
10AF.DU,AIS-A.IN.MSCI E.M.UCETFDR,EUR,AIS-A.IN.MSCI E.M.UCETFDR is an exchange-traded fund (ETF) tracking the MSCI Emerging Markets Index. It provides investors with exposure to a broad range of companies in emerging market countries. The fund is domiciled in Belgium.,,Emerging Markets,Amundi Asset Management,DUS
10AH.BE,AIS-A.I.MSCI WRD UC.ETFDD,EUR,AIS-A.I.MSCI WRD UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI World Index. It provides investors with exposure to a broad range of companies in developed markets worldwide. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,BER
10AH.DU,AIS-A.I.MSCI WRD UC.ETFDD,EUR,AIS-A.I.MSCI WRD UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI World Index. It provides investors with exposure to a broad range of companies in developed markets worldwide. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,DUS
10AH.MU,AIS-A.I.MSCI WRD UC.ETFDD,EUR,AIS-A.I.MSCI WRD UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI World Index. It provides investors with exposure to a broad range of companies in developed markets worldwide. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,MUN
10AI.BE,AIS-A.I.MSCI EUR.UC.ETFDD,EUR,AIS-A.I.MSCI EUR.UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI Europe Index. It provides investors with exposure to a broad range of companies in European developed markets. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,BER
10AI.DU,AIS-A.I.MSCI EUR.UC.ETFDD,EUR,AIS-A.I.MSCI EUR.UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI Europe Index. It provides investors with exposure to a broad range of companies in European developed markets. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,DUS
10AJ.BE,AIS-AM.I.FTSE E.N.G.UEUD,EUR,"AIS-AM.I.FTSE E.N.G.UEUD is an exchange-traded fund (ETF) that tracks the FTSE Environmental Opportunities ex Nuclear Energy Index. It invests in companies that are involved in environmental businesses, excluding nuclear energy. The fund is domiciled in Belgium.",,,Amundi Asset Management,BER
10AJ.DU,AIS-AM.I.FTSE E.N.G.UEUD,EUR,"AIS-AM.I.FTSE E.N.G.UEUD is an exchange-traded fund (ETF) that tracks the FTSE Environmental Opportunities ex Nuclear Energy Index. It invests in companies that are involved in environmental businesses, excluding nuclear energy. The fund is domiciled in Belgium.",,,Amundi Asset Management,DUS
10AK.BE,AIS-AM.I.JPM G.GBI G.UEUD,EUR,AIS-AM.I.JPM G.GBI G.UEUD is an exchange-traded fund (ETF) that tracks the J.P. Morgan GBI Global Government Bond Index. It provides investors with exposure to government bonds from around the world. The fund is domiciled in Belgium.,Fixed Income,Government Bonds,Amundi Asset Management,BER
10AK.DE,Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies,EUR,Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies is an exchange-traded fund (ETF) that tracks the J.P. Morgan GBI Global Government Bond Index. It invests in government bonds from various countries. The ETF provides investors with exposure to global government debt markets.,Fixed Income,Government Bonds,Amundi Asset Management,GER
10AK.DU,AIS-AM.I.JPM G.GBI G.UEUD,EUR,AIS-AM.I.JPM G.GBI G.UEUD is an exchange-traded fund (ETF) that tracks the J.P. Morgan GBI Global Government Bond Index. It provides investors with exposure to government bonds from around the world. The fund is domiciled in Belgium.,Fixed Income,Government Bonds,Amundi Asset Management,DUS
10AL.DU,AIS-A.IN.JPM EMU G.IGUEDD,EUR,AIS-A.IN.JPM EMU G.IGUEDD is an exchange-traded fund that tracks the J.P. Morgan EMU Government Bond Index. It provides investors with exposure to a diversified portfolio of Eurozone government bonds. The fund is domiciled in Belgium.,Fixed Income,Government Bonds,Amundi Asset Management,DUS
10AM.BE,AIS-A.I.BA.G.A.500M UEDED,EUR,AIS-A.I.BA.G.A.500M UEDED is an exchange-traded fund (ETF) that tracks the Bloomberg Barclays Global Aggregate 500 Million Index. It provides investors with exposure to a broad range of investment-grade bonds. The fund is domiciled in Belgium.,Fixed Income,Investment Grade Bonds,Amundi Asset Management,BER
10AM.DU,AIS-A.I.BA.G.A.500M UEDED,EUR,AIS-A.I.BA.G.A.500M UEDED is an exchange-traded fund (ETF) that tracks the Bloomberg Barclays Global Aggregate 500 Million Index. It provides investors with exposure to a broad range of investment-grade bonds. The fund is domiciled in Belgium.,Fixed Income,Investment Grade Bonds,Amundi Asset Management,DUS
10AQ.BE,AIS-A.MSCI EUR.XUK DR EOC,EUR,"AIS-A.MSCI EUR.XUK DR EOC is an exchange-traded fund (ETF) that tracks the MSCI Europe ex UK Index. It provides investors with exposure to a broad range of companies in European developed markets, excluding the United Kingdom. The fund is domiciled in Belgium.",,Developed Markets,Amundi Asset Management,BER
10AR.BE,AIS-AM.MSCI EM L.A. A,EUR,AIS-AM.MSCI EM L.A. A is an exchange-traded fund (ETF) that tracks the MSCI Emerging Markets Latin America Index. It provides exposure to equities from Latin American emerging markets. The fund is domiciled in Belgium.,,Emerging Markets,Amundi Asset Management,BER
10AS.BE,F.EAG.AMUN.IN.BU.FHEQDDEO,EUR,F.EAG.AMUN.IN.BU.FHEQDDEO is a fund managed by Amundi Asset Management focusing on infrastructure investments. It aims to generate long-term capital appreciation by investing in a diversified portfolio of infrastructure assets. The fund is domiciled in Luxembourg.,Industrials,,Amundi Asset Management,BER
10AS.MU,F.EAG.AMUN.IN.BU.FHEQDDEO,EUR,F.EAG.AMUN.IN.BU.FHEQDDEO is a fund managed by Amundi Asset Management focusing on infrastructure investments. It aims to generate long-term capital appreciation by investing in a diversified portfolio of infrastructure assets. The fund is domiciled in Luxembourg.,Industrials,,Amundi Asset Management,MUN
10AT.BE,AIS-AM.I.JPM G.GBI G.UEUC,EUR,AIS-AM.I.JPM G.GBI G.UEUC is an exchange-traded fund (ETF) that tracks the J.P. Morgan GBI Global Government Bond Index. It provides investors with exposure to government bonds from around the world. The fund is domiciled in Belgium and is currency hedged.,Fixed Income,Government Bonds,Amundi Asset Management,BER
10AU.BE,AIS-A.I.BA.G.A.500M UEED,EUR,AIS-A.I.BA.G.A.500M UEED is an exchange-traded fund (ETF) that tracks the Bloomberg Barclays Global Aggregate 500 Million Index. It provides investors with exposure to a broad range of investment-grade bonds. The fund is domiciled in Belgium.,Fixed Income,Investment Grade Bonds,Amundi Asset Management,BER
10AV.MU,Amundi Funds -Top European Players,EUR,"Amundi Funds -Top European Players is a sub-fund of Amundi Funds, an investment company based in Luxembourg. It seeks to achieve long-term capital appreciation by investing primarily in equities of leading companies located in Europe. The fund is managed by Amundi Asset Management.",,Developed Markets,Amundi Asset Management,MUN
10AY.BE,AMF-GL.ECO.ESG A UNH.EOA,EUR,"AMF-GL.ECO.ESG A UNH.EOA is a sub-fund of Amundi Funds that invests in global equities with an environmental, social, and governance (ESG) focus. It aims to achieve long-term capital appreciation by investing in companies that meet specific ESG criteria. The fund is managed by Amundi Asset Management and is domiciled in Luxembourg.",,,Amundi Asset Management,BER
10AZ.BE,F.EAGLE AMUNDI INTER.AE-C,EUR,"F.EAGLE AMUNDI INTER.AE-C is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation through a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,BER
10AZ.MU,F.EAGLE AMUNDI INTER.AE-C,EUR,"F.EAGLE AMUNDI INTER.AE-C is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation through a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,MUN
114100.KS,KB KStar KTB ETF (Bond),KRW,KB KStar KTB ETF (Bond) is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds (KTBs). The fund aims to provide investors with a portfolio of Korean government bonds. It is managed by KB Asset Management.,Fixed Income,Treasury Bonds,,KSC
114260.KS,Samsung Kodex Treasury Bond Securities ETF - Bonds,KRW,Samsung Kodex Treasury Bond Securities ETF - Bonds is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds. It provides investors with exposure to the performance of the Korean government bond market. The fund is managed by Samsung Asset Management.,Fixed Income,Treasury Bonds,,KSC
114460.KS,Kindex Treasury ETF,KRW,Kindex Treasury ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds. It offers investors exposure to the Korean government bond market. The fund aims to replicate the performance of a benchmark treasury bond index.,Fixed Income,Treasury Bonds,,KSC
114800.KS,Samsung Kodex Inverse ETF - Equity-Derivatives,KRW,Samsung Kodex Inverse ETF - Equity-Derivatives is an exchange-traded fund (ETF) listed on the Korea Exchange that aims to provide inverse returns relative to the KOSPI 200 index. The fund uses equity derivatives to achieve its investment objective. It is managed by Samsung Asset Management.,Derivatives,,,KSC
114820.KS,Mirae Asset TIGER KTB 3 ETF,KRW,Mirae Asset TIGER KTB 3 ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds with a maturity of 3 years. The fund aims to provide investors with exposure to a portfolio of 3-year Korean government bonds. It is managed by Mirae Asset Global Investments.,Fixed Income,Treasury Bonds,,KSC
11Z2.BE,ISH.TR.-MSCI ACWI L.CA.T.,EUR,ISH.TR.-MSCI ACWI L.CA.T. is an exchange-traded fund (ETF) that tracks the MSCI ACWI (All Country World Index). It provides investors with exposure to a broad range of companies in both developed and emerging markets worldwide. The fund is domiciled in Belgium.,,Developed Markets,BlackRock Asset Management,BER
11ZA.BE,ISHS TR.-YLD OPTIM.BD ETF,EUR,ISHS TR.-YLD OPTIM.BD ETF is an exchange-traded fund (ETF) that tracks an index of global bonds with optimized yield. It provides investors with exposure to a diversified portfolio of fixed-income securities. The fund is managed by BlackRock and is domiciled in Ireland.,Fixed Income,Corporate Bonds,BlackRock Asset Management,BER
11ZI.BE,ISHSTR-MSCI SMALL-CAP ETF,EUR,ISHSTR-MSCI SMALL-CAP ETF is an exchange-traded fund (ETF) that tracks the MSCI World Small Cap Index. It provides investors with exposure to small-capitalization companies in developed markets around the world. The fund is managed by BlackRock and is domiciled in Ireland.,,Small Cap,BlackRock Asset Management,BER
11ZJ.BE,ISHSTR-1-3Y INT.TR.BD.ETF,EUR,ISHSTR-1-3Y INT.TR.BD.ETF is an exchange-traded fund (ETF) that tracks an index of short-term investment-grade corporate bonds. It provides investors with exposure to bonds with maturities between 1 and 3 years. The fund is managed by BlackRock and is domiciled in Ireland.,Fixed Income,Corporate Bonds,BlackRock Asset Management,BER
11ZK.BE,ISHS TR.-MSCI IN.SM.C.ETF,EUR,"ISHS TR.-MSCI IN.SM.C.ETF is an exchange-traded fund (ETF) that tracks the MSCI International Small Cap Index. It provides investors with exposure to small-capitalization companies in developed markets, excluding the United States and Canada. The fund is managed by BlackRock and is domiciled in Ireland.",,Small Cap,BlackRock Asset Management,BER
11ZL.BE,ISHS-IS GL.TIM.+FOR.ETF,EUR,ISHS-IS GL.TIM.+FOR.ETF is an exchange-traded fund (ETF) that invests in companies related to timber and forestry. The ETF aims to provide investors exposure to the global timber and forestry industry. The fund is managed by BlackRock and is domiciled in Ireland.,Materials,,BlackRock Asset Management,BER
11ZP.BE,IS.TR.-FACT.MSCI INT.ETF,EUR,"IS.TR.-FACT.MSCI INT.ETF is an exchange-traded fund (ETF) that tracks the MSCI World ex USA Factor Weighted Index. It provides investors with exposure to developed market equities outside of the United States, selected and weighted based on factors such as value, momentum, and quality. The fund is managed by BlackRock and is domiciled in Ireland.",,Developed Markets,BlackRock Asset Management,BER
11ZR.BE,ISHSTR-MSCI EM.M.EX CHINA,EUR,"ISHSTR-MSCI EM.M.EX CHINA is an exchange-traded fund (ETF) that tracks the MSCI Emerging Markets ex China Index. It provides investors with exposure to a broad range of companies in emerging market countries, excluding China. The fund is managed by BlackRock and is domiciled in Ireland.",,Emerging Markets,BlackRock Asset Management,BER
122090.KS,Hanhwa Arirang KOSPI50 ETF,KRW,"Hanhwa Arirang KOSPI50 ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that tracks the KOSPI 50 index. It invests in a portfolio of stocks that mirrors the composition of the KOSPI 50 index, providing exposure to the 50 largest companies listed on the Korean stock market. The ETF is managed by Hanwha Asset Management.",,Large Cap,Hanwha Asset Management,KSC
